station,zone,postcode,lat,long,easting,northing,value
Moor Park,"6,7",HA6 2JQ,51.629931,-0.432899,508563,193509,20
Moorgate,1,EC2M 6TX,51.518437,-0.089003,532688,181677,3
Morden,4,SM4 5AZ,51.402186,-0.194838,525664,168563,55
Morden Road,"3,4,5,6",SW19 3BX,51.408872,-0.192791,525788,169310,55
Morden South,4,SM4 5AN,51.396308,-0.200287,525301,167900,7
Mornington Crescent,2,NW1 2JA,51.534362,-0.13873,529193,183359,55
Mortlake,3,SW14 8LN,51.468168,-0.267189,520458,175779,55
Motspur Park,4,KT3 6JJ,51.39532,-0.239425,522581,167724,148
Mottingham,4,SE9 4EN,51.439825,0.050339,542600,173197,55
Mudchute,2,E14 9UW,51.491236,-0.014946,537908,178789,7
Neasden,3,NW10 1PH,51.554628,-0.250101,521415,185422,20
New Addington,"3,4,5,6",CR0 0DE,51.342591,-0.017369,538187,162255,7
New Barnet,5,EN5 1QT,51.648537,-0.172955,526502,195996,55
New Beckenham,4,BR3 1QW,51.416706,-0.035291,536718,170463,20
New Cross,2,SE14 6LD,51.476429,-0.032264,536750,177110,20
New Cross Gate,2,SE14 6AR,51.475265,-0.039515,536250,176967,3
New Eltham,4,SE9 2AB,51.437691,0.070459,544005,172999,148
New Malden,4,KT3 4PX,51.403556,-0.256204,521392,168612,20
New Southgate,4,N11 1QH,51.614094,-0.142995,528672,192218,20
Newbury Park,4,IG2 7RN,51.575638,0.090318,544947,188378,55
Norbiton,5,KT2 7AZ,51.411909,-0.284186,519424,169495,148
Norbury,3,SW16 3RW,51.411189,-0.122785,530650,169690,3
North Acton,"2,3",W3 6UP,51.523432,-0.259715,520831,181937,3
North Dulwich,"2,3",SE21 7BX,51.454482,-0.087904,532950,174567,55
North Ealing,3,W5 3AF,51.517622,-0.288979,518816,181243,55
North Greenwich,"2,3",SE10 0PH,51.500255,0.003601,539168,179827,20
North Harrow,5,HA2 7SR,51.584631,-0.362619,513540,188578,20
North Sheen,3,TW9 4QA,51.46542,-0.286383,519132,175442,55
North Wembley,4,HA0 3NT,51.562396,-0.303934,517663,186198,3
Northfields,3,W13 9QU,51.500492,-0.31505,517051,179296,20
Northolt,5,UB5 4AA,51.548213,-0.368426,513228,184519,55
Northolt Park,5,UB5 4XE,51.557619,-0.35942,513829,185579,7
Northwick Park,4,HA3 0AT,51.578509,-0.318185,516634,187967,3
Northwood,6,HA6 2XL,51.611214,-0.423823,509236,191441,148
Northwood Hills,6,HA6 1NZ,51.600803,-0.409297,510267,190305,20
Norwood Junction,4,SE25 5AG,51.396954,-0.075195,534001,168193,55
Notting Hill Gate,"1,2",W11 3HT,51.509375,-0.195907,525296,180481,7
Nunhead,2,SE15 3XE,51.46658,-0.053665,535293,175975,20
Oakleigh Park,4,EN5 1BU,51.637676,-0.166181,527001,194800,20
Oakwood,5,N14 4UT,51.647638,-0.131839,529349,195968,55
Ockendon,7,RM15 6PD,51.52199,0.290498,559004,182828,55
Old Street,1,EC1V 9NR,51.525581,-0.087609,532764,182474,20
Orpington,6,BR6 0SX,51.37352,0.089043,545500,165900,3
Osterley,4,TW7 4PU,51.481217,-0.352082,514529,177094,20
Oval,2,SE11 4PP,51.481413,-0.113307,531108,177516,3
Oxford Circus,1,W1C 2JS,51.515223,-0.140822,529102,181227,20
Paddington,1,W2 1RH,51.515394,-0.175722,526680,181185,7
Palmers Green,4,N13 4PN,51.618787,-0.110258,530925,192798,3
Park Royal,3,W5 3EL,51.526834,-0.284915,519074,182274,20
Parsons Green,2,SW6 4HU,51.47496,-0.20111,525029,176645,55
Peckham Rye,2,SE15 5DQ,51.469511,-0.069969,534152,176271,148
Penge East,4,SE20 7BQ,51.419975,-0.054481,535374,170791,3
Penge West,4,SE20 8NU,51.418063,-0.060631,534952,170567,148
Perivale,4,UB6 7NP,51.536342,-0.323056,516404,183270,55
Petts Wood,5,BR5 1LZ,51.388599,0.074494,544440,167548,55
Phipps Bridge,"3,4,5,6",CR4 3QN,51.403377,-0.182282,526534,168717,7
Piccadilly Circus,1,W1J 9HS,51.509697,-0.133697,529612,180625,20
Pimlico,1,SW1V 2JA,51.489553,-0.133094,529711,178386,55
Pinner,5,HA5 5LZ,51.592362,-0.381209,512233,189409,20
Plaistow,3,E13 0DY,51.531288,0.017795,540058,183305,3
Plumstead,4,SE18 7EA,51.489792,0.084314,544803,178820,7
Ponders End,5,EN3 4LA,51.642731,-0.034511,536097,195599,7
Pontoon Dock,3,E16 2SB,51.502216,0.03334,541226,180102,7
Poplar,2,E14 0DS,51.507588,-0.017261,537698,180603,7
Preston Road,4,HA3 0PS,51.572104,-0.294958,518260,187292,3
Prince Regent,3,E16 3HE,51.509435,0.033503,541215,180905,148
Pudding Mill Lane,"2,3",E15 2PH,51.534328,-0.012754,537930,183585,7
Purfleet,7,RM16 1PL,51.481173,0.236789,555417,178174,3
Purley,6,CR8 2AP,51.337364,-0.113599,531500,161497,20
